Breed,Weight_kg
Shih Tzu,5.6
Chesapeake Bay Retriever,34.9
Samoyed,20.2
Scottish Terrier,8.9
Newfoundland,57.5
Beagle,11.5
Bulldog,19.8
German Wirehaired Pointer,29.9
Coton de Tulear,4.9
Soft Coated Wheaten Terrier,14.8
Samoyed,24.0
Cardigan Welsh Corgi,13.8
Boxer,13.8
Pug,7.4
English Springer Spaniel,19.2
Havanese,4.6
Newfoundland,56.4
Pomeranian,2.2
Rottweiler,51.7
Labrador Retriever,29.0
Beagle,9.5
Bernese Mountain Dog,38.1
Rottweiler,47.6
Shetland Sheepdog,9.1
Golden Retriever,28.7
Russell Terrier,5.8
Bulldog,20.6
Vizsla,22.2
Staffordshire Bull Terrier,11.7
Cocker Spaniel,10.3
German Shepherd Dog,34.3
Portuguese Water Dog,20.3
Boxer,22.6
Poodle (Miniature),6.3
Siberian Husky,22.2
Yorkshire Terrier,3.2
French Bulldog,12.7
Belgian Malinois,31.2
Poodle (Toy),2.2
Border Terrier,6.0
Miniature American Shepherd,14.3
Bulldog,21.3
West Highland White Terrier,7.8
Doberman Pinscher,37.0
Shetland Sheepdog,9.8
Boston Terrier,9.1
Boxer,25.9
German Shorthaired Pointer,24.2
Newfoundland,57.8
Chihuahua,2.7
Australian Cattle Dog,19.8
Siberian Husky,20.9
Tibetan Terrier,10.9
Labrador Retriever,28.6
Poodle (Toy),2.3
Cairn Terrier,6.1
Australian Shepherd,23.2
Akita,49.6
Giant Schnauzer,33.1
German Shepherd Dog,32.6
Rhodesian Ridgeback,36.6
German Shorthaired Pointer,26.9
Collie,28.8
Rottweiler,41.5
Chow Chow,26.7
Yorkshire Terrier,3.2
Chesapeake Bay Retriever,27.8
Maltese,3.2
Golden Retriever,30.0
Old English Sheepdog,38.1
Yorkshire Terrier,3.2
Shiba Inu,8.4
Newfoundland,58.9
Mastiff,92.2
Rat Terrier,9.5
Golden Retriever,29.5
Scottish Terrier,9.2
French Bulldog,12.7
Shetland Sheepdog,8.9
Shetland Sheepdog,9.9
Siberian Husky,20.3
Golden Retriever,28.0
Poodle (Toy),2.2
Bouvier des Flandres,43.2
Chow Chow,25.1
Chesapeake Bay Retriever,29.5
Border Terrier,6.4
Golden Retriever,27.7
Lagotto Romagnolo,14.0
Miniature Schnauzer,6.5
Samoyed,24.6
Coton de Tulear,4.7
Akita,44.9
West Highland White Terrier,8.1
Flat-Coated Retriever,29.7
Miniature American Shepherd,12.8
Standard Schnauzer,17.0
Whippet,14.4
Boxer,20.3
Cavalier King Charles Spaniel,6.9
Labrador Retriever,33.7
Shih Tzu,6.0
Flat-Coated Retriever,29.7
Doberman Pinscher,36.4
Maltese,3.2
French Bulldog,12.7
Pomeranian,2.9
Yorkshire Terrier,3.2
German Shepherd Dog,34.9
Poodle (Miniature),5.3
Mastiff,78.0
French Bulldog,12.7
Yorkshire Terrier,3.2
Wirehaired Pointing Griffon,24.7
Beagle,9.2
Boxer,21.3
Boxer,21.4
Beagle,10.1
Bull Terrier,27.1
Chinese Shar-Pei,22.3
Rottweiler,42.0
Pembroke Welsh Corgi,13.0
German Shepherd Dog,33.9
Vizsla,24.2
Mastiff,85.6
Saint Bernard,71.1
Siberian Husky,18.4
Dachshund,11.6
English Springer Spaniel,19.8
French Bulldog,12.7
Weimaraner,28.3
Siberian Husky,25.0
Great Dane,61.1
Miniature Schnauzer,7.2
Miniature Schnauzer,7.4
Beagle,10.5
Pomeranian,2.6
French Bulldog,12.7
Old English Sheepdog,35.2
Doberman Pinscher,35.9
Chinese Crested,4.9
Basset Hound,21.9
Brittany,15.7
Dachshund,11.3
Bulldog,20.1
Wirehaired Pointing Griffon,27.6
Irish Setter,29.8
Coton de Tulear,5.6
Belgian Malinois,26.7
Bullmastiff,50.9
Chesapeake Bay Retriever,31.0
German Shorthaired Pointer,25.2
Great Dane,70.6
French Bulldog,12.7
Labrador Retriever,30.5
Poodle (Miniature),6.5
Cavalier King Charles Spaniel,6.9
Labrador Retriever,30.0
Basenji,10.5
Bernese Mountain Dog,38.9
Brittany,15.6
German Shepherd Dog,34.5
Great Pyrenees,41.9
French Bulldog,12.7
Siberian Husky,23.3
French Bulldog,12.7
Flat-Coated Retriever,29.8
Labrador Retriever,29.0
Havanese,3.8
German Shorthaired Pointer,24.4
Chinese Shar-Pei,23.8
Basset Hound,25.5
Pomeranian,2.1
English Springer Spaniel,19.7
Saint Bernard,67.6
Dachshund,11.3
West Highland White Terrier,8.1
Miniature Schnauzer,6.7
Lhasa Apso,6.8
Rhodesian Ridgeback,37.0
Miniature Pinscher,4.1
Airedale Terrier,24.5
Shetland Sheepdog,9.3
Miniature American Shepherd,11.4
Dachshund,11.0
Australian Shepherd,22.4
Boston Terrier,9.5
Beagle,9.0
Pembroke Welsh Corgi,13.2
Bloodhound,43.0
Collie,26.3
Labrador Retriever,30.2
Vizsla,23.3
Havanese,4.9
Bichon Frise,6.5
Lhasa Apso,6.8
Belgian Malinois,22.2
Boston Terrier,8.2
Basenji,10.6
Flat-Coated Retriever,28.3
Chinese Shar-Pei,23.7
Leonberger,52.3
Golden Retriever,28.0
Lhasa Apso,7.6
Bichon Frise,6.5
Poodle (Standard),19.6
Boston Terrier,7.4
Bulldog,20.6
German Shepherd Dog,31.1
West Highland White Terrier,7.6
Shiba Inu,8.4
Doberman Pinscher,43.0
Bernese Mountain Dog,37.3
Chesapeake Bay Retriever,32.4
Norwegian Elkhound,23.8
Labrador Retriever,30.3
German Shepherd Dog,33.4
Tibetan Terrier,11.5
Newfoundland,57.3
Belgian Malinois,28.6
Chihuahua,2.7
Bulldog,20.5
Golden Retriever,27.5
German Shorthaired Pointer,25.7
Miniature Pinscher,4.4
Havanese,3.9
Siberian Husky,23.1
Weimaraner,33.9
Standard Schnauzer,17.0
Havanese,5.4
German Shepherd Dog,34.9
Shih Tzu,4.7
English Setter,31.4
Weimaraner,33.4
Boston Terrier,8.0
Akita,44.1
Pomeranian,2.3
Basenji,10.4
Bichon Frise,7.8
Miniature Schnauzer,7.5
Dachshund,6.2
Standard Schnauzer,18.1
Bernese Mountain Dog,39.7
Standard Schnauzer,17.8
Collie,28.0
Scottish Terrier,9.3
Australian Cattle Dog,16.8
Labrador Retriever,30.9
Bichon Frise,7.0
Labrador Retriever,29.9
Golden Retriever,34.0
Doberman Pinscher,37.1
Siberian Husky,25.7
Bull Terrier,27.2
Border Terrier,6.3
Pembroke Welsh Corgi,13.1
Samoyed,20.1
Dogue de Bordeaux,45.9
Poodle (Miniature),5.2
French Bulldog,12.7
Chinese Shar-Pei,24.9
Anatolian Shepherd Dog,55.8
Bulldog,21.4
Great Dane,62.7
Samoyed,20.5
Poodle (Miniature),5.7
Rat Terrier,8.3
Poodle (Standard),21.5
Doberman Pinscher,37.0
American Staffordshire Terrier,18.8
Giant Schnauzer,31.7
Bulldog,20.0
Vizsla,22.1
English Cocker Spaniel,13.3
German Shepherd Dog,33.6
Bouvier des Flandres,38.3
Pomeranian,2.3
Whippet,14.3
German Shepherd Dog,31.2
Miniature American Shepherd,15.6
Bernese Mountain Dog,40.5
Pomeranian,2.1
Poodle (Miniature),5.8
Whippet,15.8
Poodle (Toy),2.3
Yorkshire Terrier,3.2
Brussels Griffon,4.1
Bull Terrier,30.5
Pembroke Welsh Corgi,13.4
English Setter,30.5
German Shorthaired Pointer,24.7
Golden Retriever,30.7
American Staffordshire Terrier,22.6
German Shorthaired Pointer,22.8
Airedale Terrier,25.6
German Shepherd Dog,25.6
Shiba Inu,9.1
Beagle,10.1
French Bulldog,12.7
Labrador Retriever,32.1
Giant Schnauzer,30.7
Soft Coated Wheaten Terrier,15.5
Cocker Spaniel,11.3
Dogue de Bordeaux,47.5
Bullmastiff,50.9
Cocker Spaniel,12.5
French Bulldog,12.7
Pembroke Welsh Corgi,13.1
Coton de Tulear,5.6
Dalmatian,25.4
Labrador Retriever,29.1
Dachshund,7.3
Dalmatian,26.1
French Bulldog,12.7
Siberian Husky,20.6
German Shepherd Dog,38.3
Rhodesian Ridgeback,35.3
Bloodhound,39.5
English Cocker Spaniel,12.6
Cardigan Welsh Corgi,13.6
German Shepherd Dog,26.8
Bulldog,19.7
Yorkshire Terrier,3.2
Saint Bernard,72.9
Irish Wolfhound,52.2
Australian Shepherd,24.4
Newfoundland,61.4
Cavalier King Charles Spaniel,6.8
Rottweiler,42.9
Great Dane,67.0
Bull Terrier,24.5
Miniature Schnauzer,6.0
Nova Scotia Duck Tolling Retriever,18.7
Labrador Retriever,29.2
Wirehaired Pointing Griffon,26.7
Poodle (Toy),2.5
French Bulldog,12.7
Labrador Retriever,32.0
West Highland White Terrier,7.4
Pekingese,6.4
Siberian Husky,25.4
Labrador Retriever,31.2
Labrador Retriever,25.7
Irish Wolfhound,51.7
Border Collie,19.4
Dalmatian,24.8
Bernese Mountain Dog,40.4
Labrador Retriever,30.6
Russell Terrier,5.3
Labrador Retriever,31.1
Lagotto Romagnolo,13.8
Alaskan Malamute,36.4
Brittany,16.0
Pug,7.5
Wirehaired Pointing Griffon,22.8
Labrador Retriever,30.4
Shih Tzu,5.5
Staffordshire Bull Terrier,13.9
Havanese,4.4
Beagle,10.1
Rottweiler,51.7
Miniature American Shepherd,12.8
French Bulldog,12.7
Yorkshire Terrier,3.2
Bernese Mountain Dog,35.6
Pomeranian,2.6
German Shorthaired Pointer,29.4
Mastiff,72.5
Havanese,4.4
Maltese,3.2
Border Collie,21.4
Basenji,10.7
Poodle (Miniature),6.2
Mastiff,82.6
Miniature Schnauzer,6.2
Poodle (Miniature),5.7
Cairn Terrier,6.2
Cocker Spaniel,12.3
Rhodesian Ridgeback,35.9
Labrador Retriever,29.7
Beagle,8.1
Cocker Spaniel,10.5
Scottish Terrier,9.1
English Setter,29.8
Boykin Spaniel,12.8
Golden Retriever,30.2
Australian Shepherd,26.3
English Setter,31.5
Tibetan Terrier,10.0
Papillon,3.4
Chinese Shar-Pei,24.6
Dalmatian,26.2
Belgian Malinois,27.8
Newfoundland,57.6
Dogue de Bordeaux,47.4
Bulldog,20.7
Bloodhound,45.8
Standard Schnauzer,16.9
German Shepherd Dog,34.8
Doberman Pinscher,38.6
Bernese Mountain Dog,42.6
Pembroke Welsh Corgi,13.0
Bull Terrier,26.5
Collie,25.5
Australian Shepherd,24.8
Shiba Inu,8.8
Vizsla,22.1
Poodle (Standard),24.8
Yorkshire Terrier,3.2
French Bulldog,12.7
Chow Chow,24.3
Italian Greyhound,5.5
Beagle,9.2
Siberian Husky,24.8
Labrador Retriever,31.9
Labrador Retriever,31.1
Weimaraner,39.1
Labrador Retriever,27.5
Miniature American Shepherd,12.1
Yorkshire Terrier,3.2
Bernese Mountain Dog,43.2
Boykin Spaniel,15.7
German Shorthaired Pointer,26.0
Saint Bernard,70.6
Border Collie,19.0
Miniature American Shepherd,11.7
German Shepherd Dog,35.3
German Shorthaired Pointer,21.4
French Bulldog,12.7
Bloodhound,41.7
Norwegian Elkhound,24.3
Bernese Mountain Dog,41.6
Cocker Spaniel,12.2
Boston Terrier,8.7
French Bulldog,12.7
Poodle (Standard),27.6
Australian Cattle Dog,20.5
Old English Sheepdog,37.1
Rottweiler,43.0
Pomeranian,1.9
Belgian Malinois,29.2
Leonberger,49.7
Bichon Frise,7.0
Labrador Retriever,32.5
Border Terrier,6.5
Lhasa Apso,6.6
Rat Terrier,8.4
Saint Bernard,68.0
Rhodesian Ridgeback,34.4
Pekingese,6.4
Doberman Pinscher,33.5
Soft Coated Wheaten Terrier,17.3
Nova Scotia Duck Tolling Retriever,18.3
Collie,28.3
Havanese,4.1
Golden Retriever,30.6
English Springer Spaniel,21.2
Soft Coated Wheaten Terrier,14.7
Irish Wolfhound,51.3
Bullmastiff,52.5
Bullmastiff,51.1
German Shepherd Dog,26.8
Italian Greyhound,5.1
Portuguese Water Dog,23.3
Australian Cattle Dog,18.2
Pomeranian,2.0
Pomeranian,2.7
Labrador Retriever,32.1
Siberian Husky,22.6
Tibetan Terrier,11.3
Chihuahua,2.7
Bouvier des Flandres,43.0
Whippet,16.2
Pomeranian,3.0
Australian Shepherd,24.8
Collie,30.5
Greater Swiss Mountain Dog,44.8
German Shepherd Dog,31.2
French Bulldog,12.7
Vizsla,23.9
Border Terrier,6.2
Labrador Retriever,29.6
Pekingese,6.4
Collie,29.5
Weimaraner,32.9
Doberman Pinscher,38.5
Greater Swiss Mountain Dog,55.6
Shiba Inu,9.2
Newfoundland,52.4
Dachshund,11.9
Bernese Mountain Dog,45.9
Border Collie,18.0
Miniature Schnauzer,7.6
German Shorthaired Pointer,26.9
English Springer Spaniel,19.8
English Setter,28.3
Basset Hound,22.1
Labrador Retriever,29.8
Australian Shepherd,21.2
Bloodhound,40.9
Irish Wolfhound,51.3
Poodle (Miniature),6.3
Cairn Terrier,6.3
Lhasa Apso,6.2
Dachshund,11.0
German Shepherd Dog,31.6
Poodle (Miniature),6.1
Pug,7.8
Pembroke Welsh Corgi,13.3
Akita,49.6
Staffordshire Bull Terrier,14.4
Rhodesian Ridgeback,35.1
French Bulldog,12.7
Wirehaired Pointing Griffon,27.3
Bichon Frise,7.0
West Highland White Terrier,7.9
Dachshund,8.5
Chesapeake Bay Retriever,31.9
American Staffordshire Terrier,25.3
Collie,29.4
English Cocker Spaniel,13.2
Bullmastiff,52.2
Poodle (Toy),2.2
Basset Hound,25.4
French Bulldog,12.7
Poodle (Toy),2.2
Coton de Tulear,5.4
Boxer,21.9
Bernese Mountain Dog,43.3
Scottish Terrier,9.4
Tibetan Terrier,11.1
Border Collie,17.5
German Shepherd Dog,33.3
Brittany,15.4
Great Pyrenees,43.2
Labrador Retriever,29.7
Great Pyrenees,41.8
Dogue de Bordeaux,48.0
French Bulldog,12.7
Australian Shepherd,24.3
Staffordshire Bull Terrier,14.1
Chihuahua,2.7
Nova Scotia Duck Tolling Retriever,16.6
Whippet,15.2
Irish Wolfhound,52.3
Boxer,15.8
Chesapeake Bay Retriever,30.1
Border Collie,18.2
Poodle (Toy),2.4
Siberian Husky,22.0
Weimaraner,39.6
Bouvier des Flandres,41.0
Poodle (Miniature),5.3
Belgian Malinois,25.5
Golden Retriever,30.9
Chow Chow,23.4
Havanese,4.6
Brittany,14.9
Chesapeake Bay Retriever,33.0
Poodle (Miniature),5.7
Bloodhound,43.7
Labrador Retriever,32.4
Boston Terrier,8.6
Great Pyrenees,41.1
Rat Terrier,6.3
Border Terrier,6.2
English Springer Spaniel,18.6
Vizsla,23.2
Mastiff,73.9
Siberian Husky,20.0
Miniature Pinscher,4.1
American Staffordshire Terrier,22.4
Papillon,2.9
Scottish Terrier,9.3
Rat Terrier,5.9
Labrador Retriever,29.8
Beagle,10.1
Basset Hound,22.4
Poodle (Standard),23.3
Miniature American Shepherd,13.3
Nova Scotia Duck Tolling Retriever,18.6
Labrador Retriever,32.6
Poodle (Miniature),5.7
English Cocker Spaniel,14.3
Akita,49.9
Rottweiler,47.6
Poodle (Standard),25.4
English Springer Spaniel,20.7
English Springer Spaniel,20.7
Poodle (Miniature),6.4
Bouvier des Flandres,36.8
Bulldog,20.3
Pekingese,6.4
Yorkshire Terrier,3.2
Shetland Sheepdog,9.4
Dalmatian,31.3
Australian Cattle Dog,19.5
Italian Greyhound,5.8
Labrador Retriever,30.7
Cavalier King Charles Spaniel,7.0
Havanese,5.0
Bulldog,20.1
Scottish Terrier,9.1
Labrador Retriever,32.5
Weimaraner,34.5
Irish Wolfhound,49.0
Lhasa Apso,7.3
Cavalier King Charles Spaniel,7.1
Pembroke Welsh Corgi,13.4
Standard Schnauzer,18.3
Doberman Pinscher,40.0
Portuguese Water Dog,23.9
Bichon Frise,7.1
Poodle (Toy),2.3
German Shepherd Dog,32.1
Flat-Coated Retriever,29.9
Golden Retriever,28.8
Rottweiler,45.3
Poodle (Toy),2.3
French Bulldog,12.7
Maltese,3.2
Miniature Schnauzer,7.2
Staffordshire Bull Terrier,14.8
Chinese Crested,5.3
Basset Hound,23.3
Newfoundland,62.3
Italian Greyhound,4.5
West Highland White Terrier,7.6
Golden Retriever,27.7
Golden Retriever,27.0
Bloodhound,42.9
Standard Schnauzer,16.3
Miniature Schnauzer,7.2
Akita,51.5
Scottish Terrier,9.0
Whippet,15.6
Bernese Mountain Dog,48.1
Irish Wolfhound,49.0
Alaskan Malamute,35.3
Irish Setter,29.7
Brussels Griffon,4.0
West Highland White Terrier,7.3
Poodle (Toy),2.2
Poodle (Toy),2.6
Pomeranian,2.4
Miniature Schnauzer,7.5
Mastiff,70.8
Brittany,14.9
Shih Tzu,5.9
Old English Sheepdog,39.5
Flat-Coated Retriever,30.8
Cardigan Welsh Corgi,14.1
German Shepherd Dog,39.9
Portuguese Water Dog,24.3
English Cocker Spaniel,13.9
Shih Tzu,5.2
Poodle (Miniature),5.7
Pembroke Welsh Corgi,13.1
French Bulldog,12.7
Labrador Retriever,30.4
Basenji,10.6
Golden Retriever,30.6
Doberman Pinscher,34.8
Rhodesian Ridgeback,36.2
Papillon,3.0
German Shorthaired Pointer,27.8
Bullmastiff,49.5
English Springer Spaniel,21.2
Doberman Pinscher,29.7
Anatolian Shepherd Dog,42.7
Wirehaired Pointing Griffon,23.1
Great Dane,62.7
Australian Shepherd,24.7
Portuguese Water Dog,22.5
Yorkshire Terrier,3.2
Collie,26.6
Samoyed,22.5
Poodle (Standard),27.7
Brittany,17.2
Labrador Retriever,32.5
Alaskan Malamute,37.6
Airedale Terrier,26.7
German Shorthaired Pointer,26.0
German Shepherd Dog,27.1
Whippet,15.9
Bull Terrier,25.0
Golden Retriever,30.5
Newfoundland,51.0
Scottish Terrier,8.8
Basenji,10.6
Beagle,8.0
Bull Terrier,26.5
German Wirehaired Pointer,27.6
Mastiff,62.4
Poodle (Standard),22.2
German Shepherd Dog,35.4
Rhodesian Ridgeback,36.1
Scottish Terrier,8.9
Alaskan Malamute,36.9
Rhodesian Ridgeback,35.6
Boxer,32.9
German Shepherd Dog,36.4
Miniature Schnauzer,7.8
Australian Shepherd,23.8
Golden Retriever,26.7
Dalmatian,28.1
Lhasa Apso,7.6
Pomeranian,2.1
Bernese Mountain Dog,41.1
Miniature Schnauzer,7.2
Flat-Coated Retriever,30.6
Labrador Retriever,27.5
Poodle (Miniature),5.2
Dalmatian,28.8
Boykin Spaniel,14.8
Chesapeake Bay Retriever,28.9
German Shepherd Dog,29.9
Dachshund,9.0
Maltese,3.2
Rhodesian Ridgeback,35.1
Pekingese,6.4
Bullmastiff,49.3
Whippet,13.9
German Shepherd Dog,27.4
Weimaraner,36.9
Australian Shepherd,26.4
French Bulldog,12.7
Chinese Shar-Pei,21.4
Shetland Sheepdog,8.9
Lhasa Apso,7.0
Bloodhound,38.8
Golden Retriever,27.4
Shetland Sheepdog,6.8
English Setter,28.2
Poodle (Toy),2.0
Old English Sheepdog,31.7
Miniature Pinscher,4.3
Labrador Retriever,30.1
Russell Terrier,5.1
Lhasa Apso,6.9
Beagle,9.7
Boxer,24.2
Australian Cattle Dog,19.2
German Shorthaired Pointer,24.3
Cairn Terrier,6.1
Bullmastiff,51.4
Siberian Husky,20.9
Miniature American Shepherd,13.0
Australian Cattle Dog,21.1
French Bulldog,12.7
Dachshund,10.0
Doberman Pinscher,29.8
Labrador Retriever,31.5
Australian Shepherd,21.8
Pug,7.5
Greater Swiss Mountain Dog,48.3
Soft Coated Wheaten Terrier,16.1
German Shepherd Dog,28.7
Boxer,30.8
Alaskan Malamute,35.6
Old English Sheepdog,33.0
Boston Terrier,9.6
Havanese,4.4
Giant Schnauzer,32.4
Great Dane,73.2
Beagle,9.2
Chesapeake Bay Retriever,32.4
Chinese Shar-Pei,22.4
Scottish Terrier,9.1
Airedale Terrier,28.1
Pekingese,6.4
West Highland White Terrier,7.5
Miniature Schnauzer,7.9
Border Terrier,6.1
Belgian Malinois,34.5
Labrador Retriever,25.8
Great Pyrenees,41.3
Cavalier King Charles Spaniel,6.6
Great Dane,65.6
Rat Terrier,7.8
Labrador Retriever,31.7
German Shepherd Dog,26.0
Chinese Shar-Pei,24.1
Leonberger,60.3
English Cocker Spaniel,14.4
Miniature Schnauzer,5.8
Rottweiler,51.1
Poodle (Toy),2.1
German Shepherd Dog,32.8
English Cocker Spaniel,15.4
Basset Hound,23.0
Border Terrier,6.3
Rottweiler,52.1
Cardigan Welsh Corgi,15.7
Belgian Malinois,32.3
Poodle (Miniature),5.3
Poodle (Standard),21.5
Italian Greyhound,6.3
Border Terrier,6.2
Lhasa Apso,6.7
Shiba Inu,8.1
Whippet,15.2
Miniature American Shepherd,12.7
Rhodesian Ridgeback,36.0
Collie,24.5
German Shorthaired Pointer,24.6
Pomeranian,2.5
Scottish Terrier,9.0
Newfoundland,60.3
Labrador Retriever,31.3
Chinese Shar-Pei,25.0
Boxer,19.4
Miniature Schnauzer,6.4
Poodle (Toy),2.4
Rottweiler,47.3
Basenji,10.3
Australian Shepherd,27.9
Shiba Inu,9.6
Great Dane,68.0
Doberman Pinscher,33.9
Newfoundland,49.4
Rhodesian Ridgeback,34.6
Boxer,24.8
Soft Coated Wheaten Terrier,15.6
Bull Terrier,27.5
Mastiff,87.4
Havanese,4.4
Brittany,16.8
Collie,30.0
Labrador Retriever,28.5
Brittany,15.6
Golden Retriever,30.0
Samoyed,22.6
Shetland Sheepdog,9.8
Siberian Husky,21.6
Anatolian Shepherd Dog,54.8
Mastiff,80.7
Rottweiler,43.6
Australian Shepherd,25.0
Poodle (Miniature),6.1
Pomeranian,2.4
Nova Scotia Duck Tolling Retriever,18.9
Poodle (Standard),25.7
Shih Tzu,6.2
Portuguese Water Dog,20.7
Pomeranian,2.2
Chow Chow,24.2
Shiba Inu,8.7
Bulldog,21.8
Yorkshire Terrier,3.2
Akita,51.2
Golden Retriever,27.9
Collie,29.6
Rottweiler,49.8
Lagotto Romagnolo,13.3
Border Terrier,6.5
Brussels Griffon,4.2
Whippet,14.9
Shih Tzu,6.2
Yorkshire Terrier,3.2
Miniature American Shepherd,15.5
Bloodhound,41.9
Labrador Retriever,30.7
German Shepherd Dog,30.3
Leonberger,42.4
French Bulldog,12.7
Golden Retriever,28.7
Portuguese Water Dog,21.9
English Setter,31.8
Poodle (Standard),24.2
Cocker Spaniel,12.2
Border Collie,17.1
Shih Tzu,5.9
Labrador Retriever,32.4
Coton de Tulear,5.7
Dogue de Bordeaux,48.9
Boykin Spaniel,13.2
French Bulldog,12.7
Belgian Malinois,26.9
Old English Sheepdog,36.2
French Bulldog,12.7
Beagle,9.2
Golden Retriever,29.2
Boykin Spaniel,12.3
Golden Retriever,30.0
Brittany,14.9
German Wirehaired Pointer,27.1
Cavalier King Charles Spaniel,7.0
Anatolian Shepherd Dog,44.3
Leonberger,52.3
Standard Schnauzer,18.9
Pomeranian,2.1
Pomeranian,2.4
Pug,7.0
Mastiff,96.4
Yorkshire Terrier,3.2
Miniature American Shepherd,13.2
Scottish Terrier,9.7
Soft Coated Wheaten Terrier,15.2
Basset Hound,24.4
German Shepherd Dog,33.6
Irish Setter,29.9
Great Dane,69.1
Cavalier King Charles Spaniel,7.0
Yorkshire Terrier,3.2
German Shepherd Dog,34.4
Weimaraner,32.8
Beagle,9.3
German Shepherd Dog,36.0
Poodle (Miniature),5.8
Beagle,8.7
Siberian Husky,19.7
Belgian Malinois,27.1
Soft Coated Wheaten Terrier,16.2
Yorkshire Terrier,3.2
Border Terrier,6.5
Greater Swiss Mountain Dog,52.4
Whippet,16.2
Weimaraner,31.1
Pembroke Welsh Corgi,13.0
Shiba Inu,8.4
Yorkshire Terrier,3.2
Irish Setter,29.0
Golden Retriever,29.3
American Staffordshire Terrier,24.0
Bulldog,21.7
Poodle (Miniature),5.9
Yorkshire Terrier,3.2
Portuguese Water Dog,22.3
Poodle (Standard),23.8
Leonberger,55.4
Whippet,12.8
Boxer,21.0
Golden Retriever,31.5
Coton de Tulear,5.5
English Cocker Spaniel,14.2
Labrador Retriever,32.4
German Shepherd Dog,25.4
English Cocker Spaniel,13.4
English Setter,26.0
Great Pyrenees,42.7
Soft Coated Wheaten Terrier,16.2
Poodle (Toy),2.3
Bulldog,20.9
Tibetan Terrier,10.1
German Shepherd Dog,34.6
Portuguese Water Dog,18.0
Bulldog,19.8
Maltese,3.2
Russell Terrier,5.1
Australian Cattle Dog,17.2
Coton de Tulear,4.9
Old English Sheepdog,38.5
Australian Cattle Dog,20.6
Beagle,9.6
Boxer,22.9
Labrador Retriever,32.2
Australian Shepherd,21.0
Saint Bernard,62.7
Australian Cattle Dog,16.9
German Shepherd Dog,33.6
Collie,30.1
Bulldog,19.8
Poodle (Standard),25.5
Shiba Inu,8.3
Labrador Retriever,27.1
Golden Retriever,33.2
Irish Setter,29.3
Labrador Retriever,32.5
Rottweiler,46.7
Bulldog,19.3
Dachshund,9.0
Labrador Retriever,29.0
Siberian Husky,21.2
Scottish Terrier,9.2
Old English Sheepdog,34.8
Labrador Retriever,27.4
Vizsla,25.4
Boston Terrier,8.1
German Shorthaired Pointer,27.7
Great Dane,58.4
Brittany,17.0
English Cocker Spaniel,13.6
Samoyed,20.6
Poodle (Toy),2.2
Bulldog,20.3
Cocker Spaniel,11.9
Rottweiler,46.8
Giant Schnauzer,31.5
Standard Schnauzer,18.5
Samoyed,24.9
Doberman Pinscher,35.9
Boykin Spaniel,14.9
Akita,35.7
Labrador Retriever,30.5
Boston Terrier,7.8
Bloodhound,46.5
Dogue de Bordeaux,47.4
Siberian Husky,24.0
Chinese Shar-Pei,23.0
Bernese Mountain Dog,37.7
German Shorthaired Pointer,25.4
Papillon,3.1
West Highland White Terrier,7.7
Rhodesian Ridgeback,35.8
Newfoundland,59.4
Poodle (Toy),2.4
Pug,7.1
English Springer Spaniel,21.0
Chinese Shar-Pei,24.4
English Cocker Spaniel,13.5
Chihuahua,2.7
Yorkshire Terrier,3.2
Papillon,3.5
Brittany,15.8
Boxer,21.4
Tibetan Terrier,10.6
Labrador Retriever,31.8
Bichon Frise,6.7
Russell Terrier,5.2
Border Collie,16.8
Boston Terrier,10.9
Golden Retriever,30.2
Shiba Inu,8.7
Australian Shepherd,22.2
Rhodesian Ridgeback,34.2
Havanese,5.0
English Springer Spaniel,20.6
Havanese,5.6
Doberman Pinscher,37.6
Siberian Husky,19.7
Bulldog,20.4
German Shepherd Dog,26.1
Poodle (Miniature),4.9
Labrador Retriever,28.5
English Springer Spaniel,21.5
Dogue de Bordeaux,48.5
English Setter,30.0
Greater Swiss Mountain Dog,45.9
Saint Bernard,70.8
Labrador Retriever,29.9
Pug,6.9
Irish Setter,29.2
Golden Retriever,26.5
English Springer Spaniel,21.4
Weimaraner,34.6
German Shepherd Dog,35.2
Anatolian Shepherd Dog,57.9
Australian Shepherd,24.1
Flat-Coated Retriever,28.9
Labrador Retriever,29.5
Dalmatian,27.0
Poodle (Standard),23.3
Pembroke Welsh Corgi,13.3
Labrador Retriever,28.6
Norwegian Elkhound,23.6
Labrador Retriever,31.9
Miniature American Shepherd,13.9
Saint Bernard,69.4
Dalmatian,27.2
French Bulldog,12.7
Poodle (Miniature),5.5
Doberman Pinscher,38.7
Tibetan Terrier,10.7
Mastiff,88.5
Dalmatian,29.1
German Shepherd Dog,33.9
Giant Schnauzer,33.2
Border Terrier,6.4
Great Dane,65.3
Cavalier King Charles Spaniel,6.8
Doberman Pinscher,39.2
Yorkshire Terrier,3.2
German Shorthaired Pointer,28.1
Chihuahua,2.7
Pembroke Welsh Corgi,12.9
Poodle (Miniature),5.9
Leonberger,61.3
Pekingese,6.4
Maltese,3.2
Australian Cattle Dog,17.9
Rhodesian Ridgeback,34.9
Siberian Husky,22.5
Airedale Terrier,28.5
Wirehaired Pointing Griffon,16.8
English Springer Spaniel,21.2
Labrador Retriever,33.8
German Shepherd Dog,33.0
German Shorthaired Pointer,25.1
German Shorthaired Pointer,26.7
